Data file path DATASET/Iris/data.txt
Data load is started
Data load is complete
Data process is started
Data process is completed
Calculating mean and standard deviation for training data..
Mean and standard deviation are calculated
Normalization is started
Normalization is completed
Network creation is started
Network is created
The number of total samples: 150 
The number of train samples: 120 
The number of test samples: 30 
Input dimension: 4 
The number of unique labels: 3 
Initial learning rate: 3.000000 
Alpha: 0.050000 
The number of epochs: 100 
Training is started
Epoch = 1	 Lrate = 3.000000	 Error = 70.611441
Epoch = 70	 Lrate = 0.175583	 Error = 2.066373
Epoch = 71	 Lrate = 0.175583	 Error = 2.064260
Epoch = 72	 Lrate = 0.175583	 Error = 2.063682
Epoch = 73	 Lrate = 0.175583	 Error = 2.063126
Epoch = 74	 Lrate = 0.175583	 Error = 2.062585
Epoch = 75	 Lrate = 0.175583	 Error = 2.062057
Epoch = 76	 Lrate = 0.175583	 Error = 2.061540
Epoch = 77	 Lrate = 0.175583	 Error = 2.061032
Epoch = 78	 Lrate = 0.175583	 Error = 2.060532
Epoch = 79	 Lrate = 0.175583	 Error = 2.060040
Epoch = 80	 Lrate = 0.117055	 Error = 2.059554
Epoch = 81	 Lrate = 0.117055	 Error = 2.058262
Epoch = 82	 Lrate = 0.117055	 Error = 2.057940
Epoch = 83	 Lrate = 0.117055	 Error = 2.057622
Epoch = 84	 Lrate = 0.117055	 Error = 2.057309
Epoch = 85	 Lrate = 0.117055	 Error = 2.057000
Epoch = 86	 Lrate = 0.117055	 Error = 2.056694
Epoch = 87	 Lrate = 0.117055	 Error = 2.056391
Epoch = 88	 Lrate = 0.117055	 Error = 2.056091
Epoch = 89	 Lrate = 0.117055	 Error = 2.055794
Epoch = 90	 Lrate = 0.078037	 Error = 2.055499
Epoch = 91	 Lrate = 0.078037	 Error = 2.054680
Epoch = 92	 Lrate = 0.078037	 Error = 2.054486
Epoch = 93	 Lrate = 0.078037	 Error = 2.054293
Epoch = 94	 Lrate = 0.078037	 Error = 2.054102
Epoch = 95	 Lrate = 0.078037	 Error = 2.053911
Epoch = 96	 Lrate = 0.078037	 Error = 2.053722
Epoch = 97	 Lrate = 0.078037	 Error = 2.053534
Epoch = 98	 Lrate = 0.078037	 Error = 2.053348
Epoch = 99	 Lrate = 0.078037	 Error = 2.053162
Epoch = 100	 Lrate = 0.052025	 Error = 2.052977
Training is completed
Prediction is started
Overall train accuracy: 0.991667 
Overall test accuracy: 0.933333 
Test class accuracies 
Class-0 accuracy: 1.000000 
Class-1 accuracy: 0.818182 
Class-2 accuracy: 1.000000 

Prediction is completed
