Data file path DATASET/Wine/data.txt
Data load is started
Data load is complete
Data process is started
Data process is completed
Calculating mean and standard deviation for training data..
Mean and standard deviation are calculated
Normalization is started
Normalization is completed
Network creation is started
Network is created
The number of total samples: 178 
The number of train samples: 143 
The number of test samples: 35 
Input dimension: 13 
The number of unique labels: 3 
Initial learning rate: 3.000000 
Alpha: 0.050000 
The number of epochs: 100 
Training is started
Epoch = 1	 Lrate = 3.000000	 Error = 30.032517
Epoch = 52	 Lrate = 3.000000	 Error = 0.038745
Epoch = 53	 Lrate = 3.000000	 Error = 0.037892
Epoch = 54	 Lrate = 3.000000	 Error = 0.037076
Epoch = 55	 Lrate = 3.000000	 Error = 0.036294
Epoch = 56	 Lrate = 3.000000	 Error = 0.035543
Epoch = 57	 Lrate = 3.000000	 Error = 0.034822
Epoch = 58	 Lrate = 3.000000	 Error = 0.034130
Epoch = 59	 Lrate = 3.000000	 Error = 0.033463
Epoch = 60	 Lrate = 3.000000	 Error = 0.032822
Epoch = 61	 Lrate = 3.000000	 Error = 0.032205
Epoch = 62	 Lrate = 3.000000	 Error = 0.031609
Epoch = 63	 Lrate = 3.000000	 Error = 0.031035
Epoch = 64	 Lrate = 3.000000	 Error = 0.030481
Epoch = 65	 Lrate = 3.000000	 Error = 0.029946
Epoch = 66	 Lrate = 3.000000	 Error = 0.029429
Epoch = 67	 Lrate = 3.000000	 Error = 0.028929
Epoch = 68	 Lrate = 3.000000	 Error = 0.028446
Epoch = 69	 Lrate = 3.000000	 Error = 0.027978
Epoch = 70	 Lrate = 3.000000	 Error = 0.027525
Epoch = 71	 Lrate = 3.000000	 Error = 0.027086
Epoch = 72	 Lrate = 3.000000	 Error = 0.026660
Epoch = 73	 Lrate = 3.000000	 Error = 0.026247
Epoch = 74	 Lrate = 3.000000	 Error = 0.025847
Epoch = 75	 Lrate = 3.000000	 Error = 0.025458
Epoch = 76	 Lrate = 3.000000	 Error = 0.025080
Epoch = 77	 Lrate = 3.000000	 Error = 0.024714
Epoch = 78	 Lrate = 3.000000	 Error = 0.024357
Epoch = 79	 Lrate = 3.000000	 Error = 0.024011
Epoch = 80	 Lrate = 3.000000	 Error = 0.023674
Epoch = 81	 Lrate = 3.000000	 Error = 0.023346
Epoch = 82	 Lrate = 3.000000	 Error = 0.023026
Epoch = 83	 Lrate = 3.000000	 Error = 0.022716
Epoch = 84	 Lrate = 3.000000	 Error = 0.022413
Epoch = 85	 Lrate = 3.000000	 Error = 0.022118
Epoch = 86	 Lrate = 3.000000	 Error = 0.021830
Epoch = 87	 Lrate = 3.000000	 Error = 0.021550
Epoch = 88	 Lrate = 3.000000	 Error = 0.021276
Epoch = 89	 Lrate = 3.000000	 Error = 0.021010
Epoch = 90	 Lrate = 3.000000	 Error = 0.020749
Epoch = 91	 Lrate = 3.000000	 Error = 0.020495
Epoch = 92	 Lrate = 3.000000	 Error = 0.020247
Epoch = 93	 Lrate = 3.000000	 Error = 0.020004
Epoch = 94	 Lrate = 3.000000	 Error = 0.019768
Epoch = 95	 Lrate = 3.000000	 Error = 0.019536
Epoch = 96	 Lrate = 3.000000	 Error = 0.019310
Epoch = 97	 Lrate = 3.000000	 Error = 0.019089
Epoch = 98	 Lrate = 3.000000	 Error = 0.018873
Epoch = 99	 Lrate = 3.000000	 Error = 0.018661
Epoch = 100	 Lrate = 3.000000	 Error = 0.018454
Training is completed
Prediction is started
Overall train accuracy: 1.000000 
Overall test accuracy: 1.000000 
Test class accuracies 
Class-0 accuracy: 1.000000 
Class-1 accuracy: 1.000000 
Class-2 accuracy: 1.000000 

Prediction is completed
